bounty_id,level,rank,firstName,lastName,captainPersonality,fleetName,flagshipName,gender,faction,portrait,greetingText,suppressIntel,postedByFaction,creditReward,repReward,intelText,flagshipVariantId,fleetVariantIds,minimumFleetFP,playerFPScalingFactor,maximumFleetFP,chanceToAutoRecover,specialItemRewards,neverSpawnUnlessBountiesCompleted,neverSpawnWhenFactionHostile,neverSpawnWhenFactionNonHostile,neverSpawnBeforeCycle,neverSpawnBeforeLevel,neverSpawnBeforeFleetPoints
vayra_test_unique_bounty,15,spaceAdmiral,Corvid,Crowe,aggressive,The Black Talons,Black Talon,MALE,pirates,graphics/portraits/vayra_corvid_crow.png,"""I've seen things you wouldn't believe. Attack ships on fire off the shoulder of Chicomoztoc. I watched Tachyon Lances glitter in the dark near the Hybrasil Gate. All those moments will be lost in time, like tears in rain. Time to die.""",FALSE,independent,250000,15,"After cycles of searching, agents from a consortium of minor independent powers have finally tracked the infamous Persean League Navy deserter and pirate, Admiral Corvid Crowe, to his hideout in a deserted system. An extremely generous bounty has been posted for his disintegration.",vayra_black_eagle_bt,"eagle_Balanced, eagle_Assault, gryphon_FS, falcon_p_Strike, falcon_p_Strike, falcon_CS, hammerhead_Balanced, hammerhead_Balanced, sunder_CS",60,1.1,150,1,,,FALSE,FALSE,206,1,1
vayra_ghost_ship_unique_bounty,30,spaceAdmiral,Crazy,John,aggressive,The Jolly Rogers,Flying Dutchman,MALE,hvb_hostile,graphics/portraits/vayra_crazy_john.png,"The face of the dread pirate 'Crazy' John fills your viewscreen, his lightless eyes boring into yours as he seems almost to look past or through,you, his face locked in a rictus grin. ""Hello, poppet,"" he croons through gritted teeth. ""Come to take me toys, have ye? Well. Well, well, well. Well!"" He throws his head back and laughs. ""Better pilots than ye have tried, spacer... 'Tis not me time, y'see."" He winks at the comm unit, then his expression falls, leaving him looking suddenly pale and exhausted. ""Ye think I do not wish for death? Ye think I haven't TRIED? Th' ship... Th' ship won't let me die, y'see."" He leans forward, black eyes again filling the commscreen's frame, and whispers, ""Mark me words, spacer... Win or lose, it'll take ye too. It takes them all, in time.""",FALSE,pirates,400000,20,"Your intelligence sources report that they have received a coded communique addressed to you personally, sent through an elaborate system of switchbacks and dead-drops that ensure it cannot be traced. The contents of the message are almost incomprehensible, pages and pages of barely coherent gibberish written in a stream-of-consciousness style by someone who is quite clearly deranged, but you manage to glean three key points:

First, the message is intended as a bounty posting. The target: one Admiral John, dread pirate lord and commander of the fabled Flying Dutchman, a legendary Galleon-class treasure ship rebuilt into a formidable pirate dreadnought and weapon of war.

Second, the communique was originally sent by one of John's own lieutenants, herself a pirate of some reknown who spent several decades at his side aboard the Dutchman. Her insane rantings suggest that perhaps the legends of a curse placed upon the ship are to be taken seriously, if not literally - she describes ghostly hauntings and apparitions in florid language, but the actual happenings she describes broadly line up with more credible descriptions of symptoms experienced by crewmen who have held long-term posts aboard phase ships or in close defensive positions around makeshift hyperwave relays.

Third, and finally, the lieutenant - and a coalition of lesser pirate lords and captains - are offering a significant bounty for Admiral John's death.",vayra_galleon_p_dread,,150,1.4,400,1,pirate_package,vayra_test_unique_bounty,FALSE,FALSE,210,20,140
vayra_warlord_bounty,30,spaceAdmiral,Arpad,Zoltan,aggressive,Hegemony Heavy Detachment,Warlord,MALE,hegemony,graphics/portraits/portrait_hegemony05.png,"""Ah, I see you've found me at last, Diktat vultures and rats. I will not be such easy prey as you are used to hunting.""",FALSE,sindrian_diktat,600000,30,"Comms channels lately have been full of reports of the exploits of one Admiral Arpad Zoltan, a rising star in the Hegemony Navy whose meteoric career mirrors that of Philip Andrada himself during the years leading up to the Askonian Crisis. Perhaps that's why the Diktat has placed such a large price on his head, with the unusual stipulation that the bounty will not be withdrawn until and unless the Diktat Executor himself is personally satisfied with proof of Zoltan's death.",vayra_warlord_artillery,,200,1.2,600,1,,,TRUE,FALSE,209,20,200
vayra_blood_dog_bounty,20,spaceCaptain,Gal,Paladin,reckless,Gal's Gals,Blood Dog,FEMALE,pirates,graphics/portraits/vayra_gal_paladin.png,"""Hypocrite that you are, for you trust the cop inside your head as well as you do the cop in the Hegemony council. All domination is ultimately based on the triumph of the unworthy over the many, the cruel over the innocent. Do you know what my crime was? To dream of a world of freedom, a world where a woman might stand on her own rather than cowing and worshipping at the ruined corpse of the Domain.

To make the distinction unmistakably clear: Freedom is the vital force in human history, our history; Hegemony is that inert mass of institutions and organizations which accumulate around and tend to drag down the advance of life; Freedom is Arkadiy Innokenti facing death by fire; Hegemony is the Domain Intelligence Service, after sixty-two years of inquisition, sending him to the wall; Freedom is mutual aid and self-defense; Hegemony is the judge, the lawbook and the forces of Law; Freedom is uprising, insurrection, revolution; Hegemony is the war of state against state, or of machines against people, as in the fringe systems and Magec; Freedom is tolerance, detachment and humor, or passion, anger, revenge; Hegemony is the entrance examination, the planet-killer, the doctoral dissertation and the summary execution; Freedom is the heroes of the Askonian Revolutionary Council fighting the Persean League, then the Diktat, then the Hegemony, then the Diktat again; Hegemony is Andrada and the Diktat itself; Freedom is Ludd granting us freedom from the tired thanatarchy of the Domain; Hegemony is the Pathers dedicated to tearing down all of the old and the new alike; Freedom is a youth with an antimatter-catalyzed fusion grenade in her hand; Hegemony is the League militiaman or Tri-Tachyon enforcer that guns her down; Freedom is the wild river; Hegemony, 592,000 tons of cement; Freedom flows; Hegemony thickens and coagulates, like tired, sick, stifled blood.

Come, then, unthinking hunting beast that you are. Will you fight, or will you perish like a dog?""",FALSE,hegemony,69000,5,"Delivered on a secure comm channel used by the Hegemony for back-channel deals and bounty postings, denoting a target of such high priority that they deem it necessary to disseminate the information even to enemies of the Hegemony:

WANTED: DEAD OR ALIVE
by order of HIGH HEGEMON BAIKAL DAUD
The notorious pirate known as GAL PALADIN is WANTED
for CRIMES against the HEGEMONY including
PIRACY, SMUGGLING, UNSANCTIONED HEROISM, UNLAWFUL ACTIVITIES, CONSPICUOUS CHARITY, ILLICIT RESCUE ACTIVITY, THOUGHTCRIME, and CONSPIRACY TO AVOID PROSECUTION
significant reward offered via secure cred-channel",vayra_blood_dog_millenium,"hound_hegemony_blood_orange, hound_hegemony_blood_orange, hound_hegemony_blood_orange, hound_hegemony_blood_orange, hound_hegemony_blood_orange, hound_hegemony_blood_orange, hound_hegemony_blood_orange, hound_hegemony_blood_orange",69,0.8,69,1,,,FALSE,FALSE,206,2,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# bounty_id : line ID. Must be unique across all mods. I recommend a prefix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# level : character level of bounty captain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# rank : must match a rank ID in Ranks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# firstName : bounty captain's first name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
